ADV,LAT,LON,TIME,WIND,PR,STAT
1,11.30,138.00,10/08/00Z,20,-,TROPICAL DEPRESSION
2,12.10,138.50,10/08/06Z,20,-,TROPICAL DEPRESSION
3,12.90,138.70,10/08/12Z,20,-,TROPICAL DEPRESSION
4,13.70,138.50,10/08/18Z,20,-,TROPICAL DEPRESSION
5,14.40,137.90,10/09/00Z,25,-,TROPICAL DEPRESSION
6,14.50,136.70,10/09/06Z,25,-,TROPICAL DEPRESSION
7,14.50,135.40,10/09/12Z,30,-,TROPICAL DEPRESSION
8,15.80,134.70,10/09/18Z,30,-,TROPICAL DEPRESSION
9,17.20,133.90,10/10/00Z,35,-,TROPICAL STORM
10,17.40,132.70,10/10/06Z,35,-,TROPICAL STORM
11,17.70,131.50,10/10/12Z,40,-,TROPICAL STORM
12,18.60,130.60,10/10/18Z,45,-,TROPICAL STORM
13,19.50,129.60,10/11/00Z,50,-,TROPICAL STORM
14,20.20,128.50,10/11/06Z,50,-,TROPICAL STORM
15,20.90,127.40,10/11/12Z,55,-,TROPICAL STORM
16,21.40,126.00,10/11/18Z,60,-,TROPICAL STORM
17,21.80,124.50,10/12/00Z,65,-,TYPHOON-1
18,22.00,123.30,10/12/06Z,70,-,TYPHOON-1
19,22.10,122.70,10/12/12Z,70,-,TYPHOON-1
20,22.50,122.60,10/12/18Z,75,-,TYPHOON-1
21,23.10,122.70,10/13/00Z,80,-,TYPHOON-1
22,24.00,122.90,10/13/06Z,85,-,TYPHOON-2
23,24.90,123.10,10/13/12Z,80,-,TYPHOON-1
24,25.50,123.40,10/13/18Z,70,-,TYPHOON-1
25,26.00,123.80,10/14/00Z,55,-,TROPICAL STORM
26,26.60,124.60,10/14/06Z,45,-,TROPICAL STORM
27,27.30,126.00,10/14/12Z,40,-,TROPICAL STORM
28,28.30,127.90,10/14/18Z,35,-,TROPICAL STORM
29,29.50,130.30,10/15/00Z,35,-,TROPICAL STORM
