ADV,LAT,LON,TIME,WIND,PR,STAT
1,9.20,148.30,07/16/00Z,15,-,TROPICAL DEPRESSION
2,10.10,147.20,07/16/06Z,20,-,TROPICAL DEPRESSION
3,11.00,146.00,07/16/12Z,20,-,TROPICAL DEPRESSION
4,11.90,145.10,07/16/18Z,25,-,TROPICAL DEPRESSION
5,12.40,144.10,07/17/00Z,30,-,TROPICAL DEPRESSION
6,12.70,142.80,07/17/06Z,30,-,TROPICAL DEPRESSION
7,12.90,141.60,07/17/12Z,30,-,TROPICAL DEPRESSION
8,13.00,140.30,07/17/18Z,30,-,TROPICAL DEPRESSION
9,13.40,138.90,07/18/00Z,35,-,TROPICAL STORM
10,13.90,137.70,07/18/06Z,40,-,TROPICAL STORM
11,14.20,136.40,07/18/12Z,45,-,TROPICAL STORM
12,14.40,134.80,07/18/18Z,50,-,TROPICAL STORM
13,14.60,133.20,07/19/00Z,55,-,TROPICAL STORM
14,15.00,131.50,07/19/06Z,60,-,TROPICAL STORM
15,15.30,130.00,07/19/12Z,65,-,TYPHOON-1
16,15.40,128.20,07/19/18Z,75,-,TYPHOON-1
17,15.60,126.60,07/20/00Z,85,-,TYPHOON-2
18,16.10,125.00,07/20/06Z,95,-,TYPHOON-2
19,16.50,123.70,07/20/12Z,105,-,TYPHOON-3
20,17.00,122.20,07/20/18Z,70,-,TYPHOON-1
21,16.90,120.40,07/21/00Z,60,-,TROPICAL STORM
22,17.80,119.00,07/21/06Z,75,-,TYPHOON-1
23,18.40,117.30,07/21/12Z,85,-,TYPHOON-2
24,18.90,115.50,07/21/18Z,90,-,TYPHOON-2
25,19.40,113.70,07/22/00Z,90,-,TYPHOON-2
26,19.90,112.00,07/22/06Z,80,-,TYPHOON-1
27,20.40,110.20,07/22/12Z,70,-,TYPHOON-1
28,20.80,108.40,07/22/18Z,65,-,TYPHOON-1
29,21.20,106.60,07/23/00Z,25,-,TROPICAL DEPRESSION
