ADV,LAT,LON,TIME,WIND,PR,STAT
1,3.30,175.70,01/03/06Z,20,-,TROPICAL DEPRESSION
2,3.20,176.90,01/03/12Z,20,-,TROPICAL DEPRESSION
3,3.50,177.80,01/03/18Z,20,-,TROPICAL DEPRESSION
4,4.00,178.70,01/04/00Z,20,-,TROPICAL DEPRESSION
5,4.60,179.20,01/04/06Z,20,-,TROPICAL DEPRESSION
6,5.00,179.10,01/04/12Z,25,-,TROPICAL DEPRESSION
7,5.30,178.80,01/04/18Z,25,-,TROPICAL DEPRESSION
8,5.60,178.40,01/05/00Z,25,-,TROPICAL DEPRESSION
9,5.90,177.70,01/05/06Z,25,-,TROPICAL DEPRESSION
10,6.00,176.80,01/05/12Z,30,-,TROPICAL DEPRESSION
11,6.10,176.00,01/05/18Z,30,-,TROPICAL DEPRESSION
12,6.20,175.20,01/06/00Z,35,-,TROPICAL STORM
13,6.20,174.30,01/06/06Z,40,-,TROPICAL STORM
14,6.20,173.50,01/06/12Z,45,-,TROPICAL STORM
15,6.00,172.70,01/06/18Z,50,-,TROPICAL STORM
16,5.90,171.90,01/07/00Z,50,-,TROPICAL STORM
17,5.80,171.00,01/07/06Z,55,-,TROPICAL STORM
18,5.80,170.10,01/07/12Z,60,-,TROPICAL STORM
19,5.80,169.00,01/07/18Z,65,-,TYPHOON-1
20,5.90,167.80,01/08/00Z,70,-,TYPHOON-1
21,6.00,166.50,01/08/06Z,70,-,TYPHOON-1
22,6.00,165.10,01/08/12Z,70,-,TYPHOON-1
23,6.00,163.60,01/08/18Z,70,-,TYPHOON-1
24,6.20,162.10,01/09/00Z,70,-,TYPHOON-1
25,6.50,160.60,01/09/06Z,65,-,TYPHOON-1
26,6.90,159.30,01/09/12Z,65,-,TYPHOON-1
27,7.30,158.00,01/09/18Z,60,-,TROPICAL STORM
28,7.70,156.70,01/10/00Z,60,-,TROPICAL STORM
29,8.30,155.60,01/10/06Z,55,-,TROPICAL STORM
30,8.90,154.50,01/10/12Z,50,-,TROPICAL STORM
31,9.30,153.40,01/10/18Z,45,-,TROPICAL STORM
32,9.50,152.30,01/11/00Z,45,-,TROPICAL STORM
33,9.60,151.20,01/11/06Z,40,-,TROPICAL STORM
34,9.70,150.10,01/11/12Z,40,-,TROPICAL STORM
35,9.80,149.00,01/11/18Z,35,-,TROPICAL STORM
36,9.90,147.90,01/12/00Z,35,-,TROPICAL STORM
37,10.10,146.90,01/12/06Z,35,-,TROPICAL STORM
38,10.40,145.90,01/12/12Z,35,-,TROPICAL STORM
39,10.90,145.00,01/12/18Z,35,-,TROPICAL STORM
40,11.60,144.20,01/13/00Z,30,-,TROPICAL DEPRESSION
41,12.20,143.40,01/13/06Z,30,-,TROPICAL DEPRESSION
42,12.80,142.60,01/13/12Z,30,-,TROPICAL DEPRESSION
43,13.50,142.00,01/13/18Z,30,-,TROPICAL DEPRESSION
44,14.30,141.30,01/14/00Z,30,-,TROPICAL DEPRESSION
45,15.20,140.90,01/14/06Z,30,-,TROPICAL DEPRESSION
46,16.40,140.80,01/14/12Z,30,-,TROPICAL DEPRESSION
47,17.90,141.20,01/14/18Z,30,-,TROPICAL DEPRESSION
48,20.20,142.80,01/15/00Z,30,-,TROPICAL DEPRESSION
49,23.00,147.00,01/15/06Z,25,-,TROPICAL DEPRESSION
