ADV,LAT,LON,TIME,WIND,PR,STAT
9,12.60,179.70,10/25/12Z,35,-,TROPICAL STORM
10,13.30,178.70,10/25/18Z,40,-,TROPICAL STORM
11,13.70,177.50,10/26/00Z,45,-,TROPICAL STORM
12,14.20,176.00,10/26/06Z,55,-,TROPICAL STORM
13,14.70,174.30,10/26/12Z,60,-,TROPICAL STORM
14,15.20,172.60,10/26/18Z,65,-,TYPHOON-1
15,15.70,171.10,10/27/00Z,70,-,TYPHOON-1
16,16.40,169.90,10/27/06Z,80,-,TYPHOON-1
17,17.10,168.90,10/27/12Z,90,-,TYPHOON-2
18,17.80,168.00,10/27/18Z,100,-,TYPHOON-3
19,18.60,167.10,10/28/00Z,110,-,TYPHOON-3
20,19.50,166.20,10/28/06Z,110,-,TYPHOON-3
21,20.30,165.40,10/28/12Z,100,-,TYPHOON-3
22,21.00,164.90,10/28/18Z,100,-,TYPHOON-3
23,21.60,164.60,10/29/00Z,100,-,TYPHOON-3
24,22.00,164.50,10/29/06Z,95,-,TYPHOON-2
25,22.10,164.30,10/29/12Z,95,-,TYPHOON-2
26,22.00,164.10,10/29/18Z,90,-,TYPHOON-2
27,21.70,163.60,10/30/00Z,90,-,TYPHOON-2
28,21.30,162.80,10/30/06Z,85,-,TYPHOON-2
29,20.70,161.70,10/30/12Z,85,-,TYPHOON-2
30,20.20,160.50,10/30/18Z,80,-,TYPHOON-1
31,19.70,159.20,10/31/00Z,80,-,TYPHOON-1
32,19.30,157.80,10/31/06Z,80,-,TYPHOON-1
33,19.10,156.20,10/31/12Z,80,-,TYPHOON-1
34,19.20,154.50,10/31/18Z,85,-,TYPHOON-2
35,19.60,152.90,11/01/00Z,95,-,TYPHOON-2
36,20.10,151.40,11/01/06Z,105,-,TYPHOON-3
37,20.80,150.20,11/01/12Z,110,-,TYPHOON-3
38,21.60,149.30,11/01/18Z,110,-,TYPHOON-3
39,22.40,148.80,11/02/00Z,105,-,TYPHOON-3
40,23.10,148.90,11/02/06Z,105,-,TYPHOON-3
41,23.90,149.60,11/02/12Z,100,-,TYPHOON-3
42,24.90,150.80,11/02/18Z,90,-,TYPHOON-2
43,26.20,152.60,11/03/00Z,80,-,TYPHOON-1
44,27.80,154.70,11/03/06Z,70,-,TYPHOON-1
45,29.40,156.90,11/03/12Z,60,-,TROPICAL STORM
46,31.10,159.00,11/03/18Z,55,-,TROPICAL STORM
47,33.00,161.00,11/04/00Z,50,-,TROPICAL STORM
