Date: 03-04 OCT 2015
Tropical Depression EIGHT
ADV  LAT    LON      TIME     WIND  PR  STAT
  1  12.10 -171.20 10/03/12Z   30     - TROPICAL DEPRESSION
  2  11.80 -171.60 10/03/18Z   30     - TROPICAL DEPRESSION
  3  11.20 -171.80 10/04/00Z   30     - TROPICAL DEPRESSION
  4  10.70 -171.60 10/04/06Z   25     - TROPICAL DEPRESSION
  5  10.70 -171.60 10/04/12Z   25     - TROPICAL DEPRESSION
 5A  10.70 -171.60 10/04/12Z   25     - TROPICAL DEPRESSION
