ADV,LAT,LON,TIME,WIND,PR,STAT
1,17.70,127.60,07/17/12Z,30,-,TROPICAL DEPRESSION
2,18.10,127.40,07/17/18Z,40,-,TROPICAL STORM
3,18.40,127.10,07/18/00Z,45,-,TROPICAL STORM
4,18.80,126.90,07/18/06Z,55,-,TROPICAL STORM
5,19.10,126.60,07/18/12Z,65,-,TYPHOON-1
6,19.50,126.50,07/18/18Z,75,-,TYPHOON-1
7,19.70,126.40,07/19/00Z,80,-,TYPHOON-1
8,20.00,126.30,07/19/06Z,80,-,TYPHOON-1
9,20.30,126.40,07/19/12Z,90,-,TYPHOON-2
10,20.60,126.50,07/19/18Z,90,-,TYPHOON-2
11,20.80,126.70,07/20/00Z,95,-,TYPHOON-2
12,21.00,127.10,07/20/06Z,100,-,TYPHOON-3
13,21.30,127.30,07/20/12Z,110,-,TYPHOON-3
14,21.70,127.60,07/20/18Z,110,-,TYPHOON-3
15,22.10,127.80,07/21/00Z,115,-,TYPHOON-4
16,22.50,127.80,07/21/06Z,115,-,TYPHOON-4
17,23.00,127.70,07/21/12Z,115,-,TYPHOON-4
18,23.20,127.60,07/21/18Z,115,-,TYPHOON-4
19,23.40,127.40,07/22/00Z,115,-,TYPHOON-4
20,23.60,127.30,07/22/06Z,110,-,TYPHOON-3
21,23.80,127.20,07/22/12Z,110,-,TYPHOON-3
22,23.90,127.30,07/22/18Z,110,-,TYPHOON-3
23,24.10,127.30,07/23/00Z,105,-,TYPHOON-3
24,24.10,127.20,07/23/06Z,100,-,TYPHOON-3
25,23.80,127.10,07/23/12Z,100,-,TYPHOON-3
26,23.50,127.10,07/23/18Z,95,-,TYPHOON-2
27,23.70,127.20,07/24/00Z,90,-,TYPHOON-2
28,24.00,127.10,07/24/06Z,90,-,TYPHOON-2
29,24.20,127.00,07/24/12Z,80,-,TYPHOON-1
30,24.40,126.70,07/24/18Z,80,-,TYPHOON-1
31,24.60,126.50,07/25/00Z,75,-,TYPHOON-1
32,24.90,126.20,07/25/06Z,70,-,TYPHOON-1
33,25.20,125.90,07/25/12Z,70,-,TYPHOON-1
34,25.60,125.80,07/25/18Z,70,-,TYPHOON-1
35,26.00,125.60,07/26/00Z,70,-,TYPHOON-1
36,26.60,125.50,07/26/06Z,70,-,TYPHOON-1
37,27.20,125.40,07/26/12Z,65,-,TYPHOON-1
38,27.70,125.20,07/26/18Z,65,-,TYPHOON-1
39,28.50,125.00,07/27/00Z,65,-,TYPHOON-1
40,29.40,124.50,07/27/06Z,65,-,TYPHOON-1
41,30.70,123.90,07/27/12Z,65,-,TYPHOON-1
42,32.30,123.10,07/27/18Z,65,-,TYPHOON-1
43,33.90,122.30,07/28/00Z,65,-,TYPHOON-1
44,35.50,121.60,07/28/06Z,65,-,TYPHOON-1
45,37.10,121.20,07/28/12Z,60,-,TROPICAL STORM
46,38.60,121.10,07/28/18Z,50,-,TROPICAL STORM
47,40.10,121.40,07/29/00Z,45,-,TROPICAL STORM
48,42.20,120.90,07/29/06Z,35,-,TROPICAL STORM
49,44.50,120.50,07/29/12Z,35,-,TROPICAL STORM
50,45.50,121.00,07/29/18Z,20,-,TROPICAL DEPRESSION
