Date: 14-25 OCT 1959
Super Typhoon  #19
ADV  LAT   LON       TIME     WIND  PR  STAT
  1   9.70  155.10 10/14/18Z   40     - TROPICAL STORM
  2   9.80  154.00 10/15/00Z   40     - TROPICAL STORM
  3   9.90  152.70 10/15/06Z   50     - TROPICAL STORM
  4  10.00  151.20 10/15/12Z   60     - TROPICAL STORM
  5  10.10  149.60 10/15/18Z   80     - TYPHOON-1
  6  10.50  147.90 10/16/00Z  110     - TYPHOON-3
  7  11.00  145.90 10/16/06Z  125     - TYPHOON-4
  8  11.70  143.90 10/16/12Z  125     - TYPHOON-4
  9  12.30  141.80 10/16/18Z  125     - TYPHOON-4
 10  12.80  140.10 10/17/00Z  130     - TYPHOON-4
 11  13.30  138.60 10/17/06Z  140     - SUPER TYPHOON-5
 12  13.70  137.20 10/17/12Z  150     - SUPER TYPHOON-5
 13  14.20  136.20 10/17/18Z  150     - SUPER TYPHOON-5
 14  14.70  135.50 10/18/00Z  145     - SUPER TYPHOON-5
 15  15.40  135.10 10/18/06Z  140     - SUPER TYPHOON-5
 16  16.20  134.90 10/18/12Z  140     - SUPER TYPHOON-5
 17  17.00  134.80 10/18/18Z  140     - SUPER TYPHOON-5
 18  17.80  134.70 10/19/00Z  145     - SUPER TYPHOON-5
 19  18.80  134.80 10/19/06Z  150     - SUPER TYPHOON-5
 20  19.80  134.90 10/19/12Z  150     - SUPER TYPHOON-5
 21  20.80  135.10 10/19/18Z  150     - SUPER TYPHOON-5
 22  22.10  135.20 10/20/00Z  150     - SUPER TYPHOON-5
 23  23.60  135.20 10/20/06Z  150     - SUPER TYPHOON-5
 24  25.30  135.30 10/20/12Z  150     - SUPER TYPHOON-5
 25  27.10  136.30 10/20/18Z  145     - SUPER TYPHOON-5
 26  29.00  138.20 10/21/00Z  135     - SUPER TYPHOON-4
 27  30.70  140.10 10/21/06Z  120     - TYPHOON-4
 28  32.70  142.50 10/21/12Z   95     - TYPHOON-2
 29  34.80  144.80 10/21/18Z   80     - TYPHOON-1
 30  36.20  147.50 10/22/00Z   40     - TROPICAL STORM
 31  37.00  153.00 10/22/06Z   45     - TROPICAL STORM
 32  38.50  158.00 10/22/12Z   50     - TROPICAL STORM
 33  40.00  161.20 10/22/18Z   50     - TROPICAL STORM
 34  42.00  164.00 10/23/00Z   50     - TROPICAL STORM
 35  43.00  167.00 10/23/06Z   50     - TROPICAL STORM
 36  44.00  170.00 10/23/12Z   50     - TROPICAL STORM
 37  44.50  174.50 10/23/18Z   50     - TROPICAL STORM
 38  45.00 -178.00 10/24/00Z   50     - TROPICAL STORM
 39  45.20 -173.50 10/24/06Z   50     - TROPICAL STORM
 40  45.50 -168.50 10/24/12Z   50     - TROPICAL STORM
 41  46.00 -166.00 10/24/18Z   45     - TROPICAL STORM
 42  47.00 -163.00 10/25/00Z   40     - TROPICAL STORM
 43  47.50 -160.00 10/25/06Z   35     - TROPICAL STORM
 44  48.00 -157.00 10/25/12Z   30     - TROPICAL DEPRESSION
