ADV,LAT,LON,TIME,WIND,PR,STAT
1,18.00,178.00,09/13/12Z,30,-,TROPICAL DEPRESSION
2,18.20,177.10,09/13/18Z,30,-,TROPICAL DEPRESSION
3,18.20,176.20,09/14/00Z,35,-,TROPICAL STORM
4,18.20,175.10,09/14/06Z,35,-,TROPICAL STORM
5,18.30,174.00,09/14/12Z,40,-,TROPICAL STORM
6,18.30,173.00,09/14/18Z,45,-,TROPICAL STORM
7,18.70,171.80,09/15/00Z,45,-,TROPICAL STORM
8,18.90,170.70,09/15/06Z,50,-,TROPICAL STORM
9,19.20,169.50,09/15/12Z,55,-,TROPICAL STORM
10,19.40,168.30,09/15/18Z,75,-,TYPHOON-1
11,19.70,167.20,09/16/00Z,95,-,TYPHOON-2
12,19.90,166.00,09/16/06Z,110,-,TYPHOON-3
13,20.10,164.90,09/16/12Z,120,-,TYPHOON-4
14,20.80,163.40,09/16/18Z,130,-,TYPHOON-4
21,28.20,155.30,09/18/12Z,120,-,TYPHOON-4
22,30.30,155.30,09/18/18Z,100,-,TYPHOON-3
23,32.20,156.50,09/19/00Z,90,-,TYPHOON-2
24,34.10,157.90,09/19/06Z,75,-,TYPHOON-1
25,35.90,160.10,09/19/12Z,65,-,TYPHOON-1
26,38.10,163.10,09/19/18Z,55,-,TROPICAL STORM
27,40.60,168.10,09/20/00Z,50,-,TROPICAL STORM
28,42.50,172.50,09/20/06Z,50,-,TROPICAL STORM
29,44.50,174.00,09/20/12Z,45,-,TROPICAL STORM
30,45.80,177.00,09/20/18Z,40,-,TROPICAL STORM
