ADV,LAT,LON,TIME,WIND,PR,STAT
1,11.80,156.70,08/19/00Z,15,-,TROPICAL DEPRESSION
2,13.00,156.80,08/19/06Z,15,-,TROPICAL DEPRESSION
3,14.20,156.70,08/19/12Z,15,-,TROPICAL DEPRESSION
4,15.40,156.50,08/19/18Z,15,-,TROPICAL DEPRESSION
5,16.60,156.10,08/20/00Z,15,-,TROPICAL DEPRESSION
6,17.70,155.70,08/20/06Z,15,-,TROPICAL DEPRESSION
7,18.80,155.50,08/20/12Z,20,-,TROPICAL DEPRESSION
8,19.80,155.60,08/20/18Z,25,-,TROPICAL DEPRESSION
9,20.80,155.90,08/21/00Z,25,-,TROPICAL DEPRESSION
10,21.70,156.30,08/21/06Z,30,-,TROPICAL DEPRESSION
11,22.40,156.70,08/21/12Z,30,-,TROPICAL DEPRESSION
12,23.00,157.10,08/21/18Z,30,-,TROPICAL DEPRESSION
13,23.50,157.50,08/22/00Z,30,-,TROPICAL DEPRESSION
14,23.80,157.80,08/22/06Z,30,-,TROPICAL DEPRESSION
15,24.00,158.10,08/22/12Z,30,-,TROPICAL DEPRESSION
16,24.20,158.40,08/22/18Z,30,-,TROPICAL DEPRESSION
17,24.30,158.30,08/23/00Z,30,-,TROPICAL DEPRESSION
18,24.30,158.00,08/23/06Z,30,-,TROPICAL DEPRESSION
19,24.20,157.60,08/23/12Z,25,-,TROPICAL DEPRESSION
20,24.10,157.10,08/23/18Z,30,-,TROPICAL DEPRESSION
21,24.00,156.60,08/24/00Z,35,-,TROPICAL STORM
22,23.90,156.10,08/24/06Z,35,-,TROPICAL STORM
23,23.80,155.60,08/24/12Z,40,-,TROPICAL STORM
24,23.70,155.10,08/24/18Z,45,-,TROPICAL STORM
25,23.70,154.60,08/25/00Z,50,-,TROPICAL STORM
26,23.80,154.10,08/25/06Z,55,-,TROPICAL STORM
27,23.90,153.50,08/25/12Z,60,-,TROPICAL STORM
28,24.00,152.80,08/25/18Z,65,-,TYPHOON-1
29,24.20,152.10,08/26/00Z,70,-,TYPHOON-1
30,24.40,151.40,08/26/06Z,70,-,TYPHOON-1
31,24.50,150.60,08/26/12Z,70,-,TYPHOON-1
32,24.50,149.60,08/26/18Z,65,-,TYPHOON-1
33,24.40,148.40,08/27/00Z,65,-,TYPHOON-1
34,24.20,147.20,08/27/06Z,60,-,TROPICAL STORM
35,23.90,146.00,08/27/12Z,55,-,TROPICAL STORM
36,23.50,144.80,08/27/18Z,50,-,TROPICAL STORM
37,23.00,143.70,08/28/00Z,50,-,TROPICAL STORM
38,22.50,142.60,08/28/06Z,45,-,TROPICAL STORM
39,22.00,141.70,08/28/12Z,45,-,TROPICAL STORM
40,21.60,140.70,08/28/18Z,40,-,TROPICAL STORM
41,21.30,139.70,08/29/00Z,40,-,TROPICAL STORM
42,21.40,138.60,08/29/06Z,40,-,TROPICAL STORM
43,21.60,137.40,08/29/12Z,45,-,TROPICAL STORM
44,21.80,136.10,08/29/18Z,45,-,TROPICAL STORM
45,21.90,134.70,08/30/00Z,50,-,TROPICAL STORM
46,22.00,133.20,08/30/06Z,50,-,TROPICAL STORM
47,22.10,131.70,08/30/12Z,55,-,TROPICAL STORM
48,22.20,130.10,08/30/18Z,60,-,TROPICAL STORM
49,22.40,128.40,08/31/00Z,65,-,TYPHOON-1
50,22.60,126.70,08/31/06Z,75,-,TYPHOON-1
51,23.00,125.10,08/31/12Z,85,-,TYPHOON-2
52,23.50,123.60,08/31/18Z,95,-,TYPHOON-2
53,24.20,122.30,09/01/00Z,105,-,TYPHOON-3
54,24.90,121.00,09/01/06Z,85,-,TYPHOON-2
55,25.40,119.70,09/01/12Z,65,-,TYPHOON-1
56,26.40,118.70,09/01/18Z,45,-,TROPICAL STORM
57,27.50,117.80,09/02/00Z,30,-,TROPICAL DEPRESSION
58,28.80,117.20,09/02/06Z,20,-,TROPICAL DEPRESSION
59,30.20,116.90,09/02/12Z,15,-,TROPICAL DEPRESSION
60,31.50,116.70,09/02/18Z,10,-,TROPICAL DEPRESSION
