ADV,LAT,LON,TIME,WIND,PR,STAT
1,6.90,142.60,11/08/00Z,30,-,TROPICAL DEPRESSION
2,7.30,143.00,11/08/06Z,35,-,TROPICAL STORM
3,7.40,142.60,11/08/12Z,35,-,TROPICAL STORM
4,7.80,142.10,11/08/18Z,40,-,TROPICAL STORM
5,8.20,141.60,11/09/00Z,50,-,TROPICAL STORM
6,7.90,141.20,11/09/06Z,55,-,TROPICAL STORM
7,8.60,141.40,11/09/12Z,55,-,TROPICAL STORM
8,9.40,140.90,11/09/18Z,60,-,TROPICAL STORM
9,10.10,140.30,11/10/00Z,65,-,TYPHOON-1
10,11.20,139.40,11/10/06Z,60,-,TROPICAL STORM
11,12.30,138.30,11/10/12Z,65,-,TYPHOON-1
12,13.10,137.00,11/10/18Z,70,-,TYPHOON-1
13,13.80,135.60,11/11/00Z,80,-,TYPHOON-1
14,14.40,134.30,11/11/06Z,95,-,TYPHOON-2
15,15.10,132.90,11/11/12Z,130,-,TYPHOON-4
21,20.10,127.50,11/13/00Z,125,-,TYPHOON-4
22,20.80,127.10,11/13/06Z,120,-,TYPHOON-4
23,21.60,126.90,11/13/12Z,110,-,TYPHOON-3
24,22.30,126.80,11/13/18Z,105,-,TYPHOON-3
25,23.20,127.00,11/14/00Z,100,-,TYPHOON-3
26,24.20,127.50,11/14/06Z,95,-,TYPHOON-2
27,25.40,128.30,11/14/12Z,90,-,TYPHOON-2
28,26.40,129.80,11/14/18Z,85,-,TYPHOON-2
29,27.60,131.80,11/15/00Z,80,-,TYPHOON-1
30,29.10,134.40,11/15/06Z,75,-,TYPHOON-1
31,30.70,138.00,11/15/12Z,65,-,TYPHOON-1
