ADV,LAT,LON,TIME,WIND,PR,STAT
1,15.00,133.20,07/16/06Z,45,-,TROPICAL STORM
2,15.10,132.50,07/16/12Z,50,-,TROPICAL STORM
3,15.10,132.00,07/16/18Z,55,-,TROPICAL STORM
4,15.10,131.70,07/17/00Z,60,-,TROPICAL STORM
5,15.20,131.20,07/17/06Z,65,-,TYPHOON-1
6,15.30,130.60,07/17/12Z,70,-,TYPHOON-1
7,15.60,129.90,07/17/18Z,75,-,TYPHOON-1
8,15.90,129.30,07/18/00Z,85,-,TYPHOON-2
9,16.40,128.60,07/18/06Z,100,-,TYPHOON-3
10,16.80,127.90,07/18/12Z,115,-,TYPHOON-4
11,17.40,127.10,07/18/18Z,125,-,TYPHOON-4
12,17.80,126.20,07/19/00Z,125,-,TYPHOON-4
13,18.30,125.50,07/19/06Z,130,-,TYPHOON-4
14,18.60,124.70,07/19/12Z,120,-,TYPHOON-4
15,19.00,123.70,07/19/18Z,115,-,TYPHOON-4
16,19.40,122.90,07/20/00Z,110,-,TYPHOON-3
17,19.80,122.20,07/20/06Z,105,-,TYPHOON-3
18,20.40,121.00,07/20/12Z,100,-,TYPHOON-3
19,20.70,119.60,07/20/18Z,95,-,TYPHOON-2
20,21.00,118.50,07/21/00Z,90,-,TYPHOON-2
21,21.30,117.60,07/21/06Z,85,-,TYPHOON-2
22,21.50,116.60,07/21/12Z,75,-,TYPHOON-1
23,21.80,115.80,07/21/18Z,70,-,TYPHOON-1
24,22.30,115.00,07/22/00Z,60,-,TROPICAL STORM
25,22.60,113.80,07/22/06Z,45,-,TROPICAL STORM
26,22.80,112.50,07/22/12Z,35,-,TROPICAL STORM
