ADV,LAT,LON,TIME,WIND,PR,STAT
31,24.40,179.40,09/28/12Z,75,-,TYPHOON-1
32,24.70,178.40,09/28/18Z,90,-,TYPHOON-2
33,25.20,177.20,09/29/00Z,100,-,TYPHOON-3
34,25.70,176.00,09/29/06Z,100,-,TYPHOON-3
35,26.40,174.70,09/29/12Z,100,-,TYPHOON-3
36,27.20,173.20,09/29/18Z,100,-,TYPHOON-3
37,28.40,171.90,09/30/00Z,100,-,TYPHOON-3
38,29.40,170.70,09/30/06Z,100,-,TYPHOON-3
39,30.20,169.90,09/30/12Z,100,-,TYPHOON-3
40,30.90,169.20,09/30/18Z,95,-,TYPHOON-2
41,31.40,169.00,10/01/00Z,90,-,TYPHOON-2
42,31.80,169.10,10/01/06Z,80,-,TYPHOON-1
43,31.90,169.50,10/01/12Z,75,-,TYPHOON-1
44,31.70,170.00,10/01/18Z,65,-,TYPHOON-1
45,31.00,170.40,10/02/00Z,65,-,TYPHOON-1
46,30.40,170.80,10/02/06Z,60,-,TROPICAL STORM
47,29.80,171.50,10/02/12Z,55,-,TROPICAL STORM
48,29.40,172.10,10/02/18Z,50,-,TROPICAL STORM
49,28.90,172.60,10/03/00Z,45,-,TROPICAL STORM
50,28.00,173.40,10/03/06Z,35,-,TROPICAL STORM
51,27.90,174.60,10/03/12Z,35,-,TROPICAL STORM
52,28.00,175.10,10/03/18Z,30,-,TROPICAL DEPRESSION
