ADV,LAT,LON,TIME,WIND,PR,STAT
1,18.90,113.60,06/06/00Z,20,-,TROPICAL DEPRESSION
2,19.00,113.50,06/06/06Z,20,-,TROPICAL DEPRESSION
3,19.20,113.40,06/06/12Z,20,-,TROPICAL DEPRESSION
4,19.50,113.30,06/06/18Z,25,-,TROPICAL DEPRESSION
5,19.80,113.20,06/07/00Z,25,-,TROPICAL DEPRESSION
6,20.30,112.90,06/07/06Z,30,-,TROPICAL DEPRESSION
7,20.70,112.60,06/07/12Z,30,-,TROPICAL DEPRESSION
8,21.20,112.20,06/07/18Z,30,-,TROPICAL DEPRESSION
9,21.60,111.70,06/08/00Z,30,-,TROPICAL DEPRESSION
10,22.00,111.10,06/08/06Z,20,-,TROPICAL DEPRESSION
