ADV,LAT,LON,TIME,WIND,PR,STAT
1,29.00,140.70,08/04/06Z,25,-,TROPICAL DEPRESSION
2,29.40,141.00,08/04/12Z,40,-,TROPICAL STORM
3,30.20,141.60,08/04/18Z,40,-,TROPICAL STORM
4,30.80,142.30,08/05/00Z,45,-,TROPICAL STORM
5,31.10,142.90,08/05/06Z,50,-,TROPICAL STORM
6,31.40,143.60,08/05/12Z,55,-,TROPICAL STORM
7,31.80,144.20,08/05/18Z,55,-,TROPICAL STORM
8,32.30,144.80,08/06/00Z,60,-,TROPICAL STORM
9,32.80,145.70,08/06/06Z,60,-,TROPICAL STORM
10,33.60,146.60,08/06/12Z,50,-,TROPICAL STORM
11,34.40,147.30,08/06/18Z,50,-,TROPICAL STORM
12,35.20,148.00,08/07/00Z,35,-,TROPICAL STORM
13,35.90,148.60,08/07/06Z,25,-,TROPICAL DEPRESSION
14,36.70,149.40,08/07/12Z,20,-,TROPICAL DEPRESSION
