ADV,LAT,LON,TIME,WIND,PR,STAT
1,15.80,165.80,08/02/18Z,20,1004,TROPICAL DEPRESSION
2,16.70,166.10,08/03/00Z,25,1002,TROPICAL DEPRESSION
3,17.60,166.40,08/03/06Z,25,1002,TROPICAL DEPRESSION
4,18.50,166.50,08/03/12Z,25,1002,TROPICAL DEPRESSION
5,19.40,166.20,08/03/18Z,30,1000,TROPICAL DEPRESSION
6,20.60,166.00,08/04/00Z,35,997,TROPICAL STORM
7,21.90,165.80,08/04/06Z,35,997,TROPICAL STORM
8,23.20,165.50,08/04/12Z,35,997,TROPICAL STORM
9,24.40,165.50,08/04/18Z,35,997,TROPICAL STORM
10,25.50,165.80,08/05/00Z,45,991,TROPICAL STORM
11,26.30,166.30,08/05/06Z,55,984,TROPICAL STORM
12,27.10,166.80,08/05/12Z,70,972,TYPHOON-1
13,27.90,167.50,08/05/18Z,90,954,TYPHOON-2
14,28.70,168.10,08/06/00Z,90,954,TYPHOON-2
15,29.50,168.80,08/06/06Z,90,954,TYPHOON-2
16,30.30,169.50,08/06/12Z,90,954,TYPHOON-2
17,31.20,170.20,08/06/18Z,65,976,TYPHOON-1
18,32.10,171.00,08/07/00Z,60,980,TROPICAL STORM
19,32.90,171.70,08/07/06Z,55,984,TROPICAL STORM
20,34.00,172.00,08/07/12Z,55,984,TROPICAL STORM
21,34.90,171.40,08/07/18Z,45,991,TROPICAL STORM
22,35.90,171.60,08/08/00Z,45,991,TROPICAL STORM
23,37.10,171.70,08/08/06Z,35,997,TROPICAL STORM
24,37.80,172.10,08/08/12Z,35,997,TROPICAL STORM
25,38.40,172.70,08/08/18Z,25,1002,TROPICAL DEPRESSION
26,39.20,172.60,08/09/00Z,25,1002,TROPICAL DEPRESSION
27,40.00,172.60,08/09/06Z,20,1004,TROPICAL DEPRESSION
