ADV,LAT,LON,TIME,WIND,PR,STAT
1,7.30,142.80,04/29/12Z,35,-,TROPICAL STORM
2,7.40,142.40,04/29/18Z,45,-,TROPICAL STORM
3,7.80,141.80,04/30/00Z,55,-,TROPICAL STORM
4,8.20,141.10,04/30/06Z,60,-,TROPICAL STORM
5,8.50,140.20,04/30/12Z,65,-,TYPHOON-1
6,8.80,139.40,04/30/18Z,65,-,TYPHOON-1
7,9.00,137.80,05/01/00Z,65,-,TYPHOON-1
8,9.00,136.80,05/01/06Z,70,-,TYPHOON-1
9,9.20,135.80,05/01/12Z,70,-,TYPHOON-1
10,9.70,134.80,05/01/18Z,65,-,TYPHOON-1
11,10.00,134.50,05/02/00Z,60,-,TROPICAL STORM
12,10.50,134.10,05/02/06Z,70,-,TYPHOON-1
13,11.00,133.50,05/02/12Z,80,-,TYPHOON-1
14,11.20,133.20,05/02/18Z,90,-,TYPHOON-2
15,11.20,132.20,05/03/00Z,100,-,TYPHOON-3
16,11.00,131.90,05/03/06Z,120,-,TYPHOON-4
17,11.00,131.20,05/03/12Z,130,-,TYPHOON-4
21,12.00,126.60,05/04/12Z,130,-,TYPHOON-4
22,12.10,125.40,05/04/18Z,110,-,TYPHOON-3
23,12.20,124.70,05/05/00Z,80,-,TYPHOON-1
24,12.30,123.80,05/05/06Z,70,-,TYPHOON-1
25,12.60,123.10,05/05/12Z,65,-,TYPHOON-1
26,13.10,122.00,05/05/18Z,60,-,TROPICAL STORM
27,13.60,121.20,05/06/00Z,55,-,TROPICAL STORM
28,14.30,120.40,05/06/06Z,50,-,TROPICAL STORM
29,14.80,119.80,05/06/12Z,50,-,TROPICAL STORM
30,15.20,118.90,05/06/18Z,50,-,TROPICAL STORM
31,16.30,117.80,05/07/00Z,65,-,TYPHOON-1
32,17.20,117.90,05/07/06Z,65,-,TYPHOON-1
33,18.20,118.20,05/07/12Z,65,-,TYPHOON-1
34,19.10,118.60,05/07/18Z,70,-,TYPHOON-1
35,20.00,119.30,05/08/00Z,75,-,TYPHOON-1
36,21.00,120.30,05/08/06Z,70,-,TYPHOON-1
37,22.00,121.50,05/08/12Z,75,-,TYPHOON-1
38,23.00,122.80,05/08/18Z,80,-,TYPHOON-1
39,24.10,125.30,05/09/00Z,85,-,TYPHOON-2
40,25.00,128.00,05/09/06Z,85,-,TYPHOON-2
41,26.00,131.00,05/09/12Z,80,-,TYPHOON-1
42,26.60,134.00,05/09/18Z,80,-,TYPHOON-1
43,27.00,136.00,05/10/00Z,80,-,TYPHOON-1
44,27.60,138.50,05/10/06Z,70,-,TYPHOON-1
45,28.20,141.10,05/10/12Z,70,-,TYPHOON-1
46,28.70,143.80,05/10/18Z,70,-,TYPHOON-1
47,27.80,146.50,05/11/00Z,70,-,TYPHOON-1
48,26.90,145.80,05/11/06Z,60,-,TROPICAL STORM
49,27.00,145.20,05/11/12Z,50,-,TROPICAL STORM
50,27.20,144.50,05/11/18Z,40,-,TROPICAL STORM
51,27.80,143.90,05/12/00Z,35,-,TROPICAL STORM
52,28.40,143.00,05/12/06Z,35,-,TROPICAL STORM
53,29.00,142.30,05/12/12Z,30,-,TROPICAL DEPRESSION
54,30.00,142.00,05/12/18Z,30,-,TROPICAL DEPRESSION
