ADV,LAT,LON,TIME,WIND,PR,STAT
1,15.10,125.00,09/20/06Z,25,1002,TROPICAL DEPRESSION
2,16.20,124.50,09/20/12Z,30,1000,TROPICAL DEPRESSION
3,17.30,123.90,09/20/18Z,35,997,TROPICAL STORM
4,18.30,123.10,09/21/00Z,35,997,TROPICAL STORM
5,18.70,122.30,09/21/06Z,40,994,TROPICAL STORM
6,19.10,121.60,09/21/12Z,50,987,TROPICAL STORM
7,19.20,121.00,09/21/18Z,50,987,TROPICAL STORM
8,19.70,120.80,09/22/00Z,55,984,TROPICAL STORM
9,20.10,120.40,09/22/06Z,55,984,TROPICAL STORM
10,20.00,119.70,09/22/12Z,55,984,TROPICAL STORM
11,19.90,118.90,09/22/18Z,55,984,TROPICAL STORM
12,20.10,118.00,09/23/00Z,50,987,TROPICAL STORM
13,20.20,117.10,09/23/06Z,50,987,TROPICAL STORM
14,20.10,116.60,09/23/12Z,50,987,TROPICAL STORM
15,19.90,116.10,09/23/18Z,45,991,TROPICAL STORM
16,19.70,115.50,09/24/00Z,50,987,TROPICAL STORM
17,19.50,114.70,09/24/06Z,55,984,TROPICAL STORM
18,19.30,113.90,09/24/12Z,60,980,TROPICAL STORM
19,18.80,113.40,09/24/18Z,65,976,TYPHOON-1
20,18.90,112.80,09/25/00Z,80,963,TYPHOON-1
21,19.00,112.30,09/25/06Z,90,954,TYPHOON-2
22,19.00,111.60,09/25/12Z,85,958,TYPHOON-2
23,19.00,110.90,09/25/18Z,80,963,TYPHOON-1
24,18.60,110.00,09/26/00Z,70,972,TYPHOON-1
25,18.80,109.10,09/26/06Z,65,976,TYPHOON-1
26,19.20,108.20,09/26/12Z,60,980,TROPICAL STORM
27,19.40,107.30,09/26/18Z,55,984,TROPICAL STORM
28,19.50,106.20,09/27/00Z,50,987,TROPICAL STORM
29,19.70,104.90,09/27/06Z,45,991,TROPICAL STORM
30,19.70,103.70,09/27/12Z,35,997,TROPICAL STORM
31,19.40,102.60,09/27/18Z,30,1000,TROPICAL DEPRESSION
