ADV,LAT,LON,TIME,WIND,PR,STAT
1,17.50,135.60,10/24/18Z,15,1006,TROPICAL DEPRESSION
2,18.70,134.90,10/25/00Z,15,1004,TROPICAL DEPRESSION
3,19.60,134.00,10/25/06Z,20,1005,TROPICAL DEPRESSION
4,20.50,133.20,10/25/12Z,20,1004,TROPICAL DEPRESSION
5,21.40,132.10,10/25/18Z,20,1007,TROPICAL DEPRESSION
6,22.40,130.90,10/26/00Z,30,1000,TROPICAL DEPRESSION
7,23.70,131.00,10/26/06Z,35,996,TROPICAL STORM
8,24.80,131.70,10/26/12Z,40,993,TROPICAL STORM
9,26.10,132.90,10/26/18Z,35,996,TROPICAL STORM
10,27.70,134.60,10/27/00Z,40,993,TROPICAL STORM
