Date: 14-20 SEP 2007
Super Typhoon  #13
ADV  LAT   LON       TIME     WIND  PR  STAT
  1  16.30  134.20 09/14/06Z   20  1007 TROPICAL DEPRESSION
  2  17.10  134.60 09/14/12Z   20  1007 TROPICAL DEPRESSION
  3  18.20  134.50 09/14/18Z   20  1003 TROPICAL DEPRESSION
  4  19.30  133.80 09/15/00Z   25  1004 TROPICAL DEPRESSION
  5  19.80  133.00 09/15/06Z   30  1000 TROPICAL DEPRESSION
  6  20.00  132.30 09/15/12Z   30  1000 TROPICAL DEPRESSION
  7  20.10  131.60 09/15/18Z   30  1000 TROPICAL DEPRESSION
  8  20.30  131.10 09/16/00Z   35   996 TROPICAL STORM
  9  20.60  130.70 09/16/06Z   45   989 TROPICAL STORM
 10  21.20  129.90 09/16/12Z   65   974 TYPHOON-1
 11  22.00  128.80 09/16/18Z   65   974 TYPHOON-1
 12  22.50  127.70 09/17/00Z   75   967 TYPHOON-1
 13  22.90  126.70 09/17/06Z   95   952 TYPHOON-2
 14  23.30  125.70 09/17/12Z  115   937 TYPHOON-4
 15  23.90  124.60 09/17/18Z  125   929 TYPHOON-4
 16  24.40  123.70 09/18/00Z  135   922 SUPER TYPHOON-4
 17  25.60  122.50 09/18/06Z  130   926 TYPHOON-4
 18  26.20  121.40 09/18/12Z  120   933 TYPHOON-4
 19  27.10  120.70 09/18/18Z  105   944 TYPHOON-3
 20  27.70  119.70 09/19/00Z   75   967 TYPHOON-1
 21  29.00  118.90 09/19/06Z   50   985 TROPICAL STORM
 22  30.50  119.00 09/19/12Z   35   996 TROPICAL STORM
 23  32.60  119.40 09/19/18Z   35   996 TROPICAL STORM
 24  35.10  120.40 09/20/00Z   35   996 TROPICAL STORM
