ADV,LAT,LON,TIME,WIND,PR,STAT
1,8.80,164.30,09/07/12Z,50,-,TROPICAL STORM
2,8.80,163.20,09/07/18Z,60,-,TROPICAL STORM
3,8.80,161.80,09/08/00Z,90,-,TYPHOON-2
4,8.90,160.10,09/08/06Z,105,-,TYPHOON-3
5,8.90,158.40,09/08/12Z,115,-,TYPHOON-4
6,9.00,156.80,09/08/18Z,125,-,TYPHOON-4
30,27.20,129.10,09/14/18Z,130,-,TYPHOON-4
31,28.20,129.30,09/15/00Z,125,-,TYPHOON-4
32,29.10,130.00,09/15/06Z,120,-,TYPHOON-4
33,29.90,131.10,09/15/12Z,110,-,TYPHOON-3
34,31.20,132.30,09/15/18Z,110,-,TYPHOON-3
35,33.10,134.00,09/16/00Z,90,-,TYPHOON-2
36,35.50,136.10,09/16/06Z,70,-,TYPHOON-1
37,39.30,139.20,09/16/12Z,65,-,TYPHOON-1
38,44.60,141.80,09/16/18Z,65,-,TYPHOON-1
39,48.50,144.40,09/17/00Z,60,-,TROPICAL STORM
40,50.70,146.90,09/17/06Z,50,-,TROPICAL STORM
41,55.00,152.50,09/17/12Z,40,-,TROPICAL STORM
