ADV,LAT,LON,TIME,WIND,PR,STAT
1,15.70,145.80,08/02/12Z,25,-,TROPICAL DEPRESSION
2,16.50,145.30,08/02/18Z,25,-,TROPICAL DEPRESSION
3,17.40,144.70,08/03/00Z,30,-,TROPICAL DEPRESSION
4,18.30,144.20,08/03/06Z,30,-,TROPICAL DEPRESSION
5,19.30,143.90,08/03/12Z,35,-,TROPICAL STORM
6,20.30,143.60,08/03/18Z,35,-,TROPICAL STORM
7,21.00,143.50,08/04/00Z,50,-,TROPICAL STORM
8,21.70,143.50,08/04/06Z,50,-,TROPICAL STORM
9,22.40,143.40,08/04/12Z,60,-,TROPICAL STORM
10,23.00,143.50,08/04/18Z,70,-,TYPHOON-1
11,23.90,143.40,08/05/00Z,80,-,TYPHOON-1
12,24.90,143.60,08/05/06Z,80,-,TYPHOON-1
13,25.90,143.90,08/05/12Z,75,-,TYPHOON-1
14,27.10,144.40,08/05/18Z,75,-,TYPHOON-1
15,28.10,144.90,08/06/00Z,60,-,TROPICAL STORM
16,29.20,145.30,08/06/06Z,50,-,TROPICAL STORM
17,30.20,145.60,08/06/12Z,40,-,TROPICAL STORM
18,30.80,145.70,08/06/18Z,45,-,TROPICAL STORM
19,31.30,145.80,08/07/00Z,50,-,TROPICAL STORM
20,31.80,146.00,08/07/06Z,60,-,TROPICAL STORM
21,32.30,146.30,08/07/12Z,60,-,TROPICAL STORM
22,32.80,146.70,08/07/18Z,50,-,TROPICAL STORM
23,33.40,147.20,08/08/00Z,50,-,TROPICAL STORM
24,33.90,147.70,08/08/06Z,50,-,TROPICAL STORM
25,34.40,148.40,08/08/12Z,40,-,TROPICAL STORM
26,34.80,149.00,08/08/18Z,35,-,TROPICAL STORM
27,35.30,149.60,08/09/00Z,35,-,TROPICAL STORM
28,35.70,150.30,08/09/06Z,35,-,TROPICAL STORM
