ADV,LAT,LON,TIME,WIND,PR,STAT
1,18.70,139.70,09/06/06Z,30,-,TROPICAL DEPRESSION
2,19.20,139.50,09/06/12Z,30,-,TROPICAL DEPRESSION
3,19.90,139.20,09/06/18Z,30,-,TROPICAL DEPRESSION
4,21.30,139.00,09/07/00Z,30,-,TROPICAL DEPRESSION
5,23.30,138.80,09/07/06Z,40,-,TROPICAL STORM
6,25.10,137.80,09/07/12Z,45,-,TROPICAL STORM
7,25.50,136.20,09/07/18Z,45,-,TROPICAL STORM
8,26.10,134.40,09/08/00Z,50,-,TROPICAL STORM
9,27.20,132.90,09/08/06Z,50,-,TROPICAL STORM
10,28.80,131.90,09/08/12Z,50,-,TROPICAL STORM
11,30.60,131.70,09/08/18Z,45,-,TROPICAL STORM
12,31.80,131.70,09/09/00Z,40,-,TROPICAL STORM
13,33.50,132.30,09/09/06Z,40,-,TROPICAL STORM
14,35.30,133.50,09/09/12Z,35,-,TROPICAL STORM
15,37.00,135.20,09/09/18Z,35,-,TROPICAL STORM
16,38.70,137.50,09/10/00Z,35,-,TROPICAL STORM
