Date: 8-22 OCT 1966
Typhoon  #25
ADV  LAT   LON       TIME     WIND  PR  STAT
  1  18.20  150.60 10/08/06Z   30     - TROPICAL DEPRESSION
  2  18.80  150.50 10/08/12Z   30     - TROPICAL DEPRESSION
  3  19.20  150.50 10/08/18Z   30     - TROPICAL DEPRESSION
  4  19.70  150.60 10/09/00Z   40     - TROPICAL STORM
  5  20.00  150.90 10/09/06Z   40     - TROPICAL STORM
  6  19.90  151.30 10/09/12Z   50     - TROPICAL STORM
  7  19.70  151.50 10/09/18Z   65     - TYPHOON-1
  8  19.40  151.70 10/10/00Z   75     - TYPHOON-1
  9  19.20  151.70 10/10/06Z   80     - TYPHOON-1
 10  19.20  151.70 10/10/12Z   80     - TYPHOON-1
 11  19.00  151.70 10/10/18Z   80     - TYPHOON-1
 12  19.10  151.30 10/11/00Z   80     - TYPHOON-1
 13  19.20  151.10 10/11/06Z   80     - TYPHOON-1
 14  19.40  150.90 10/11/12Z   80     - TYPHOON-1
 15  19.60  150.70 10/11/18Z   80     - TYPHOON-1
 16  20.10  150.40 10/12/00Z   75     - TYPHOON-1
 17  20.40  150.30 10/12/06Z   80     - TYPHOON-1
 18  20.80  150.30 10/12/12Z   85     - TYPHOON-2
 19  21.10  150.50 10/12/18Z   85     - TYPHOON-2
 20  21.50  150.80 10/13/00Z   85     - TYPHOON-2
 21  22.00  151.30 10/13/06Z   85     - TYPHOON-2
 22  22.70  152.00 10/13/12Z   90     - TYPHOON-2
 23  23.40  152.80 10/13/18Z   95     - TYPHOON-2
 24  24.20  153.80 10/14/00Z  100     - TYPHOON-3
 25  25.10  154.90 10/14/06Z  100     - TYPHOON-3
 26  26.10  156.00 10/14/12Z  100     - TYPHOON-3
 27  26.90  157.00 10/14/18Z  100     - TYPHOON-3
 28  27.50  157.80 10/15/00Z  100     - TYPHOON-3
 29  28.30  158.90 10/15/06Z   90     - TYPHOON-2
 30  29.00  160.20 10/15/12Z   85     - TYPHOON-2
 31  29.40  161.20 10/15/18Z   85     - TYPHOON-2
 32  29.60  162.10 10/16/00Z   85     - TYPHOON-2
 33  29.90  163.30 10/16/06Z   80     - TYPHOON-1
 34  30.20  164.40 10/16/12Z   75     - TYPHOON-1
 35  30.50  165.50 10/16/18Z   75     - TYPHOON-1
 36  30.80  166.60 10/17/00Z   75     - TYPHOON-1
 37  31.20  167.60 10/17/06Z   75     - TYPHOON-1
 38  31.60  168.80 10/17/12Z   75     - TYPHOON-1
 39  32.20  169.80 10/17/18Z   85     - TYPHOON-2
 40  33.10  170.60 10/18/00Z   90     - TYPHOON-2
 41  34.40  171.30 10/18/06Z   90     - TYPHOON-2
 42  35.50  172.20 10/18/12Z   90     - TYPHOON-2
 43  37.00  173.00 10/18/18Z   90     - TYPHOON-2
 44  38.30  173.80 10/19/00Z   85     - TYPHOON-2
 45  39.80  174.70 10/19/06Z   75     - TYPHOON-1
 46  41.10  175.80 10/19/12Z   65     - TYPHOON-1
 47  42.30  177.00 10/19/18Z   65     - TYPHOON-1
 48  43.40  178.50 10/20/00Z   60     - TROPICAL STORM
 49  44.40 -180.00 10/20/06Z   55     - TROPICAL STORM
 50  44.50 -179.80 10/20/12Z   60     - TROPICAL STORM
 51  45.00 -176.70 10/20/18Z   50     - TROPICAL STORM
 52  44.00 -175.00 10/21/00Z   50     - TROPICAL STORM
 53  43.50 -174.70 10/21/06Z   40     - TROPICAL STORM
 54  43.00 -172.50 10/21/12Z   40     - TROPICAL STORM
 55  43.00 -170.00 10/21/18Z   35     - TROPICAL STORM
 56  43.50 -166.00 10/22/00Z   40     - TROPICAL STORM
 57  44.50 -163.80 10/22/06Z   35     - TROPICAL STORM
 58  46.50 -158.00 10/22/12Z   30     - TROPICAL DEPRESSION
